Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,43.33080149,46.475874
1,10000,2,43.219030506,46.275911
1,10000,3,43.74958770,46.430689
1,10000,4,43.48548207,46.459174
1,10000,5,43.237843469,46.255776
4,10000,1,11.616435490,172.169854
4,10000,2,11.700806646,170.928386
4,10000,3,11.648842554,171.690878
4,10000,4,11.663106241,171.480904
4,10000,5,11.677264764,171.272986
5,10000,1,9.164659032,218.229614
5,10000,2,9.210894123,217.134186
5,10000,3,9.177307224,217.928849
5,10000,4,9.197185175,217.457838
5,10000,5,9.222612614,216.858290
6,10000,1,7.695296700,259.899011
6,10000,2,7.687206299,260.172542
6,10000,3,7.664014135,260.959853
6,10000,4,7.679523518,260.432824
6,10000,5,7.664032047,260.959243
7,10000,1,6.456070567,309.785957
7,10000,2,6.466150028,309.303062
7,10000,3,6.480790513,308.604328
7,10000,4,6.492681598,308.039131
7,10000,5,6.505517729,307.431335
8,10000,1,5.840807862,342.418386
8,10000,2,5.835621690,342.722696
8,10000,3,5.806508548,344.441067
8,10000,4,5.852133277,341.755716
8,10000,5,5.820204688,343.630526
9,10000,1,5.10569972,399.156186
9,10000,2,5.6334223,399.493903
9,10000,3,5.35998109,397.140737
9,10000,4,5.37148280,397.050055
9,10000,5,5.3950508,399.684209
10,10000,1,4.615133418,433.356919
10,10000,2,4.566914208,437.932466
10,10000,3,4.580932110,436.592369
10,10000,4,4.595200539,435.236718
10,10000,5,4.571482669,437.494823
11,10000,1,4.194449590,476.820607
11,10000,2,4.179669039,478.506786
11,10000,3,4.166307133,480.041422
11,10000,4,4.179945910,478.475091
11,10000,5,4.178127027,478.683388
12,10000,1,4.9281265,498.842528
12,10000,2,3.982134903,502.243156
12,10000,3,3.991083073,501.117106
12,10000,4,4.5801074,499.275916
12,10000,5,3.999378081,500.077752
13,10000,1,3.699414255,540.626127
13,10000,2,3.674329308,544.317026
13,10000,3,3.709471482,539.160365
13,10000,4,3.701870379,540.267431
13,10000,5,3.687986994,542.301262
14,10000,1,3.383903429,591.033415
14,10000,2,3.382041463,591.358806
14,10000,3,3.391207083,589.760504
14,10000,4,3.387327072,590.436045
14,10000,5,3.389441006,590.067801
15,10000,1,3.314091460,603.483647
15,10000,2,3.280973941,609.575094
15,10000,3,3.292863378,607.374121
15,10000,4,3.288435346,608.191979
15,10000,5,3.304187404,605.292544
16,10000,1,3.546510508,563.934604
16,10000,2,3.513762146,569.190491
16,10000,3,3.570363533,560.167048
16,10000,4,3.568320831,560.487718
16,10000,5,3.530787241,566.445912
