Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.413780438,138.756103
1,10000,2,14.428733203,138.612307
1,10000,3,14.416273162,138.732110
1,10000,4,14.408116593,138.810648
1,10000,5,14.424702937,138.651036
2,10000,1,7.609834022,262.817822
2,10000,2,7.758895396,257.768651
2,10000,3,7.747341977,258.153055
2,10000,4,7.753125557,257.960481
2,10000,5,7.605484926,262.968110
4,10000,1,3.717994989,537.924340
4,10000,2,3.713163767,538.624237
4,10000,3,3.718471127,537.855460
4,10000,4,3.715636633,538.265766
4,10000,5,3.712960001,538.653796
6,10000,1,2.476615533,807.553685
6,10000,2,2.478150152,807.053599
6,10000,3,2.478915584,806.804400
6,10000,4,2.480353188,806.336779
6,10000,5,2.500529528,799.830587
8,10000,1,1.887141954,1059.803687
8,10000,2,1.893439339,1056.278888
8,10000,3,1.888598282,1058.986455
8,10000,4,1.893893701,1056.025478
8,10000,5,1.887779668,1059.445673
10,10000,1,1.515445816,1319.743655
10,10000,2,1.513179917,1321.719894
10,10000,3,1.514035241,1320.973215
10,10000,4,1.529428491,1307.678006
10,10000,5,1.508750287,1325.600411
12,10000,1,1.263146635,1583.347447
12,10000,2,1.269280536,1575.695792
12,10000,3,1.261493406,1585.422477
12,10000,4,1.262696793,1583.911523
12,10000,5,1.264601750,1581.525567
14,10000,1,1.75067808,1860.347771
14,10000,2,1.75981600,1858.767845
14,10000,3,1.100330911,1817.635022
14,10000,4,1.79527508,1852.662378
14,10000,5,1.75485150,1859.625863
16,10000,1,0.962367860,2078.207392
16,10000,2,0.942298000,2122.470811
16,10000,3,0.950212285,2104.792825
16,10000,4,0.941409197,2124.474677
16,10000,5,0.942925355,2121.058671
18,10000,1,0.842538004,2373.780162
18,10000,2,0.844607462,2367.963924
18,10000,3,0.842841463,2372.925500
18,10000,4,0.843460931,2371.182738
18,10000,5,0.843177770,2371.979043
20,10000,1,0.775463185,2579.103739
20,10000,2,0.773854225,2584.466086
20,10000,3,0.775068023,2580.418674
20,10000,4,0.774973988,2580.731781
20,10000,5,0.774095970,2583.658974
22,10000,1,0.725843979,2755.413089
22,10000,2,0.732324516,2731.029696
22,10000,3,0.723536497,2764.200574
22,10000,4,0.732847300,2729.081488
22,10000,5,0.734343025,2723.522839
24,10000,1,0.662500722,3018.864635
24,10000,2,0.661321033,3024.249797
24,10000,3,0.661991877,3021.185107
24,10000,4,0.662165638,3020.392309
24,10000,5,0.661332871,3024.195663
