Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.17527858,912.832589
2000,2,0.15523266,1030.710934
2000,3,0.15687865,1019.896589
2000,4,0.19983563,800.658021
2000,5,0.15678673,1020.494528
4000,1,0.102911778,1243.783778
4000,2,0.103672739,1234.654368
4000,3,0.103449748,1237.315726
4000,4,0.102794527,1245.202480
4000,5,0.103024979,1242.417142
6000,1,0.331532587,1303.039330
6000,2,0.330361435,1307.658686
6000,3,0.330591624,1306.748171
6000,4,0.330038147,1308.939600
6000,5,0.329468964,1311.200894
8000,1,0.774308838,1322.469730
8000,2,0.773326629,1324.149411
8000,3,0.771273558,1327.674195
8000,4,0.776931478,1318.005550
8000,5,0.772568075,1325.449540
10000,1,1.538934615,1299.600373
10000,2,1.541252997,1297.645490
10000,3,1.533943146,1303.829288
10000,4,1.537585620,1300.740573
10000,5,1.531575229,1305.845095
12000,1,2.608402879,1324.948699
12000,2,2.615234809,1321.487458
12000,3,2.620725157,1318.718978
12000,4,2.602737865,1327.832528
12000,5,2.603144741,1327.624986
14000,1,4.195073820,1308.201056
14000,2,4.253024555,1290.375809
14000,3,4.219946733,1300.490349
14000,4,4.181179677,1312.548234
14000,5,4.224023374,1299.235235
16000,1,6.509205020,1258.525423
16000,2,6.527671591,1254.965095
16000,3,6.579930007,1244.998046
16000,4,6.485925339,1263.042599
16000,5,6.522926862,1255.877948
18000,1,8.964932407,1301.069486
18000,2,9.650273324,1208.670429
18000,3,9.443176011,1235.177655
18000,4,8.972254371,1300.007726
18000,5,8.931795702,1305.896416
20000,1,12.449122606,1285.231137
20000,2,12.202518680,1311.204713
20000,3,12.337372594,1296.872562
20000,4,12.347331936,1295.826506
20000,5,12.241151110,1307.066619

