size,OMP-threads,time
17500,1,182.596043
17500,1,183.141033
17500,1,183.152221
17500,1,182.586866
17500,1,182.484704
17500,2,92.318135
17500,2,92.330379
17500,2,92.316223
17500,2,92.326609
17500,2,92.468014
17500,3,62.041429
17500,3,62.178604
17500,3,62.043678
17500,3,62.176059
17500,3,62.037638
17500,4,47.058224
17500,4,46.888115
17500,4,47.062817
17500,4,46.927299
17500,4,46.920560
17500,5,37.977779
17500,5,37.998533
17500,5,37.987174
17500,5,37.863460
17500,5,37.996492
17500,6,31.926054
17500,6,31.982103
17500,6,31.886179
17500,6,31.868157
17500,6,31.973649
17500,7,27.495537
17500,7,27.716182
17500,7,27.616390
17500,7,27.621688
17500,7,27.621210
17500,8,24.449461
17500,8,24.249285
17500,8,24.332894
17500,8,24.254773
17500,8,24.370147
17500,9,21.714473
17500,9,21.883298
17500,9,21.759178
17500,9,21.894155
17500,9,21.739735
17500,10,19.778334
17500,10,20.011141
17500,10,19.865507
17500,10,20.000489
17500,10,19.758971
17500,11,18.052109
17500,11,18.156693
17500,11,18.247417
17500,11,18.034066
17500,11,18.066879
17500,12,16.948854
17500,12,17.016857
17500,12,16.944717
17500,12,16.845815
17500,12,16.954228
